['Marilyn Monroe'];['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters'];2;2;text-extracted2020-12-14 21:23:19.898348.txt
['Mark Twain'];['books', 'contentment', 'friends', 'friendship', 'life'];2;1;text-extracted2020-12-14 21:23:19.918624.txt
['Bob Marley'];['friendship'];4;2;text-extracted2020-12-14 21:23:20.243496.txt
['Mark Twain'];['death', 'life'];9;1;text-extracted2020-12-14 21:23:21.050280.txt
['Mark Twain'];['misattributed-mark-twain', 'truth'];9;2;text-extracted2020-12-14 21:23:21.061242.txt
['J.K. Rowling'];['truth'];10;2;text-extracted2020-12-14 21:23:21.226118.txt
['Khaled Hosseini'];['life'];10;2;text-extracted2020-12-14 21:23:21.237844.txt
['Mark Twain'];['truth'];10;2;text-extracted2020-12-14 21:23:21.245960.txt
